district,taluka,region,crop,year,month,drought_signal,price_signal,ndvi_signal,repayment_proximity,financial_stress
Amravati,Amravati,Vidarbha,cotton,2025,7,0.41,0.254,0.593,0.0,30.7
Amravati,Amravati,Vidarbha,cotton,2025,8,0.078,0.061,0.162,0.0,1.7
Amravati,Amravati,Vidarbha,cotton,2025,9,0.365,0.167,0.356,0.0,21.3
Amravati,Amravati,Vidarbha,cotton,2025,10,0.187,0.326,0.0,0.0,28.0
Amravati,Amravati,Vidarbha,cotton,2025,11,0.202,0.052,0.576,0.3,30.2
Amravati,Amravati,Vidarbha,cotton,2025,12,0.025,0.138,0.555,0.6,28.4
Amravati,Amravati,Vidarbha,soybean,2023,1,0.323,0.443,0.91,1.0,69.2
Amravati,Amravati,Vidarbha,soybean,2023,2,0.23,0.464,0.739,0.0,38.4
Amravati,Amravati,Vidarbha,soybean,2023,3,0.441,0.375,1.0,0.0,46.8
Amravati,Amravati,Vidarbha,soybean,2023,4,0.195,0.901,1.0,0.0,57.8
Amravati,Amravati,Vidarbha,soybean,2023,5,0.17,0.661,1.0,0.0,46.0
Amravati,Amravati,Vidarbha,soybean,2023,6,0.459,0.344,1.0,0.0,49.1
Amravati,Amravati,Vidarbha,soybean,2023,7,0.193,0.219,0.55,0.0,32.5
Amravati,Amravati,Vidarbha,soybean,2023,8,0.505,0.451,0.493,0.0,48.1
Amravati,Amravati,Vidarbha,soybean,2023,9,0.518,0.393,0.291,0.3,48.1
Amravati,Amravati,Vidarbha,soybean,2023,10,0.521,0.512,0.555,0.6,62.0
Amravati,Amravati,Vidarbha,soybean,2023,11,0.538,0.82,0.683,1.0,97.9
Amravati,Amravati,Vidarbha,soybean,2023,12,0.51,0.254,0.907,1.0,84.2
Amravati,Amravati,Vidarbha,soybean,2024,1,0.182,0.442,0.709,1.0,69.1
Amravati,Amravati,Vidarbha,soybean,2024,2,0.196,0.604,1.0,0.0,46.1
Amravati,Amravati,Vidarbha,soybean,2024,3,0.062,0.231,0.961,0.0,28.3
Amravati,Amravati,Vidarbha,soybean,2024,4,0.315,0.21,1.0,0.0,39.1
Amravati,Amravati,Vidarbha,soybean,2024,5,0.136,0.676,0.981,0.0,51.1
Amravati,Amravati,Vidarbha,soybean,2024,6,0.251,0.336,0.995,0.0,42.8
Amravati,Amravati,Vidarbha,soybean,2024,7,0.326,0.258,0.651,0.0,35.3
Amravati,Amravati,Vidarbha,soybean,2024,8,0.852,0.85,0.907,0.0,77.5
Amravati,Amravati,Vidarbha,soybean,2024,9,0.0,0.357,0.0,0.3,21.6
Amravati,Amravati,Vidarbha,soybean,2024,10,0.078,0.344,0.203,0.6,30.2
Amravati,Amravati,Vidarbha,soybean,2024,11,0.03,0.369,0.328,1.0,41.3
Amravati,Amravati,Vidarbha,soybean,2024,12,0.0,0.182,0.303,1.0,26.1
Amravati,Amravati,Vidarbha,soybean,2025,1,0.391,1.0,0.963,1.0,100.0
Amravati,Amravati,Vidarbha,soybean,2025,2,0.176,0.821,0.947,0.0,48.7
Amravati,Amravati,Vidarbha,soybean,2025,3,0.239,0.562,1.0,0.0,46.5
Amravati,Amravati,Vidarbha,soybean,2025,4,0.0,0.427,0.966,0.0,33.4
Amravati,Amravati,Vidarbha,soybean,2025,5,0.047,0.569,0.904,0.0,37.4
Amravati,Amravati,Vidarbha,soybean,2025,6,0.277,0.486,0.988,0.0,43.3
Amravati,Amravati,Vidarbha,soybean,2025,7,0.269,0.456,0.44,0.0,38.9
Amravati,Amravati,Vidarbha,soybean,2025,8,0.285,0.322,0.412,0.0,33.7
Amravati,Amravati,Vidarbha,soybean,2025,9,0.257,0.571,0.27,0.3,43.9
Amravati,Amravati,Vidarbha,soybean,2025,10,0.192,0.253,0.171,0.6,33.8
Amravati,Amravati,Vidarbha,soybean,2025,11,0.134,0.417,0.347,1.0,49.2
Amravati,Amravati,Vidarbha,soybean,2025,12,0.149,0.769,0.806,1.0,75.0
Amravati,Amravati,Vidarbha,tur,2023,1,0.271,0.16,0.941,0.3,46.0
Amravati,Amravati,Vidarbha,tur,2023,2,0.477,0.0,0.945,0.6,57.2
Amravati,Amravati,Vidarbha,tur,2023,3,0.22,0.041,0.989,1.0,61.7
Amravati,Amravati,Vidarbha,tur,2023,4,0.313,0.528,0.975,1.0,83.1
Amravati,Amravati,Vidarbha,tur,2023,5,0.48,0.302,1.0,1.0,82.4
Amravati,Amravati,Vidarbha,tur,2023,6,0.372,0.103,0.948,0.0,34.4
Amravati,Amravati,Vidarbha,tur,2023,7,0.533,0.192,0.705,0.0,45.8
Amravati,Amravati,Vidarbha,tur,2023,8,0.767,0.353,0.891,0.0,61.4
Amravati,Amravati,Vidarbha,tur,2023,9,0.094,0.134,0.0,0.0,9.5
Amravati,Amravati,Vidarbha,tur,2023,10,0.128,0.048,0.065,0.0,1.6
Amravati,Amravati,Vidarbha,tur,2023,11,0.132,0.28,0.237,0.0,20.0
Amravati,Amravati,Vidarbha,tur,2023,12,0.0,0.278,0.48,0.0,19.6
Amravati,Amravati,Vidarbha,tur,2024,1,0.047,0.122,0.606,0.3,17.5
Amravati,Amravati,Vidarbha,tur,2024,2,0.556,0.289,0.987,0.6,71.7
Amravati,Amravati,Vidarbha,tur,2024,3,0.461,0.412,1.0,1.0,88.0
Amravati,Amravati,Vidarbha,tur,2024,4,0.383,0.074,1.0,1.0,67.5
Amravati,Amravati,Vidarbha,tur,2024,5,0.399,0.4,1.0,1.0,81.8
Amravati,Amravati,Vidarbha,tur,2024,6,0.871,0.095,1.0,0.0,63.7
Amravati,Amravati,Vidarbha,tur,2024,7,0.727,0.227,0.829,0.0,58.8
Amravati,Amravati,Vidarbha,tur,2024,8,0.727,0.322,0.52,0.0,47.4
Amravati,Amravati,Vidarbha,tur,2024,9,0.087,0.506,0.0,0.0,16.6
Amravati,Amravati,Vidarbha,tur,2024,10,0.532,0.0,0.569,0.0,26.4
Amravati,Amravati,Vidarbha,tur,2024,11,0.23,0.302,0.371,0.0,25.9
Amravati,Amravati,Vidarbha,tur,2024,12,0.14,0.0,0.576,0.0,16.1
Amravati,Amravati,Vidarbha,tur,2025,1,0.352,0.249,0.774,0.3,48.0
Amravati,Amravati,Vidarbha,tur,2025,2,0.328,0.102,0.957,0.6,54.8
Amravati,Amravati,Vidarbha,tur,2025,3,0.37,0.156,0.987,1.0,69.1
Amravati,Amravati,Vidarbha,tur,2025,4,0.234,0.37,1.0,1.0,64.4
Amravati,Amravati,Vidarbha,tur,2025,5,0.038,0.0,1.0,1.0,45.9
Amravati,Amravati,Vidarbha,tur,2025,6,0.329,0.26,0.919,0.0,47.1
Amravati,Amravati,Vidarbha,tur,2025,7,0.377,0.462,0.687,0.0,38.8
Amravati,Amravati,Vidarbha,tur,2025,8,0.259,0.0,0.369,0.0,16.3
Amravati,Amravati,Vidarbha,tur,2025,9,0.574,0.526,0.561,0.0,50.5
Amravati,Amravati,Vidarbha,tur,2025,10,0.102,0.308,0.053,0.0,4.4
Amravati,Amravati,Vidarbha,tur,2025,11,0.385,0.119,0.589,0.0,26.6
Amravati,Amravati,Vidarbha,tur,2025,12,0.157,0.3,0.608,0.0,29.0
Amravati,Achalpur,Vidarbha,cotton,2023,1,0.274,0.0,0.701,1.0,49.2
Amravati,Achalpur,Vidarbha,cotton,2023,2,0.484,0.258,1.0,1.0,83.8
Amravati,Achalpur,Vidarbha,cotton,2023,3,0.604,0.512,1.0,1.0,100.0
Amravati,Achalpur,Vidarbha,cotton,2023,4,0.478,0.073,1.0,0.0,44.8
Amravati,Achalpur,Vidarbha,cotton,2023,5,0.368,0.075,1.0,0.0,30.8
Amravati,Achalpur,Vidarbha,cotton,2023,6,0.253,0.131,1.0,0.0,45.3
Amravati,Achalpur,Vidarbha,cotton,2023,7,0.754,0.056,0.932,0.0,52.8
Amravati,Achalpur,Vidarbha,cotton,2023,8,0.441,0.228,0.406,0.0,30.1
Amravati,Achalpur,Vidarbha,cotton,2023,9,0.744,0.029,0.617,0.0,55.9
Amravati,Achalpur,Vidarbha,cotton,2023,10,0.355,0.415,0.281,0.0,32.7
Amravati,Achalpur,Vidarbha,cotton,2023,11,0.315,0.174,0.553,0.3,39.3
Amravati,Achalpur,Vidarbha,cotton,2023,12,0.2,0.3,0.528,0.6,44.9
Amravati,Achalpur,Vidarbha,cotton,2024,1,0.26,0.154,0.704,1.0,47.8
Amravati,Achalpur,Vidarbha,cotton,2024,2,0.146,0.0,0.975,1.0,55.2
Amravati,Achalpur,Vidarbha,cotton,2024,3,0.323,0.092,1.0,1.0,51.7
Amravati,Achalpur,Vidarbha,cotton,2024,4,0.116,0.563,0.955,0.0,38.2
Amravati,Achalpur,Vidarbha,cotton,2024,5,0.261,0.0,1.0,0.0,34.0
Amravati,Achalpur,Vidarbha,cotton,2024,6,0.284,0.319,0.962,0.0,44.9
Amravati,Achalpur,Vidarbha,cotton,2024,7,0.149,0.335,0.394,0.0,18.7
Amravati,Achalpur,Vidarbha,cotton,2024,8,0.104,0.4,0.168,0.0,24.1
Amravati,Achalpur,Vidarbha,cotton,2024,9,0.204,0.418,0.055,0.0,20.3
Amravati,Achalpur,Vidarbha,cotton,2024,10,0.42,0.146,0.433,0.0,27.4
Amravati,Achalpur,Vidarbha,cotton,2024,11,0.26,0.0,0.386,0.3,23.0
Amravati,Achalpur,Vidarbha,cotton,2024,12,0.36,0.0,0.796,0.6,40.6
Amravati,Achalpur,Vidarbha,cotton,2025,1,0.187,0.173,0.762,1.0,52.9
Amravati,Achalpur,Vidarbha,cotton,2025,2,0.181,0.049,0.804,1.0,52.2
Amravati,Achalpur,Vidarbha,cotton,2025,3,0.207,0.283,0.929,1.0,72.4
Amravati,Achalpur,Vidarbha,cotton,2025,4,0.139,0.154,1.0,0.0,27.5
Amravati,Achalpur,Vidarbha,cotton,2025,5,0.0,0.067,0.977,0.0,24.7
Amravati,Achalpur,Vidarbha,cotton,2025,6,0.248,0.085,0.897,0.0,35.9
Amravati,Achalpur,Vidarbha,cotton,2025,7,0.2,0.102,0.523,0.0,22.9
Amravati,Achalpur,Vidarbha,cotton,2025,8,0.0,0.19,0.035,0.0,1.6
Amravati,Achalpur,Vidarbha,cotton,2025,9,0.279,0.0,0.028,0.0,15.8
Amravati,Achalpur,Vidarbha,cotton,2025,10,0.115,0.255,0.261,0.0,11.4
Amravati,Achalpur,Vidarbha,cotton,2025,11,0.109,0.039,0.256,0.3,25.9
Amravati,Achalpur,Vidarbha,cotton,2025,12,0.0,0.074,0.466,0.6,30.9
Amravati,Achalpur,Vidarbha,soybean,2023,1,0.155,0.839,0.863,1.0,74.8
Amravati,Achalpur,Vidarbha,soybean,2023,2,0.059,0.371,0.732,0.0,29.3
Amravati,Achalpur,Vidarbha,soybean,2023,3,0.0,0.578,0.907,0.0,40.7
Amravati,Achalpur,Vidarbha,soybean,2023,4,0.029,0.348,0.909,0.0,33.7
Amravati,Achalpur,Vidarbha,soybean,2023,5,0.184,0.138,1.0,0.0,29.0
Amravati,Achalpur,Vidarbha,soybean,2023,6,0.24,0.19,0.932,0.0,32.2
Amravati,Achalpur,Vidarbha,soybean,2023,7,0.0,0.618,0.408,0.0,22.3
Amravati,Achalpur,Vidarbha,soybean,2023,8,0.513,0.387,0.522,0.0,42.9
Amravati,Achalpur,Vidarbha,soybean,2023,9,0.047,0.569,0.0,0.3,22.7
Amravati,Achalpur,Vidarbha,soybean,2023,10,0.316,0.267,0.457,0.6,53.6
Amravati,Achalpur,Vidarbha,soybean,2023,11,0.487,0.394,0.792,1.0,80.9
Amravati,Achalpur,Vidarbha,soybean,2023,12,0.078,0.437,0.634,1.0,56.9
Amravati,Achalpur,Vidarbha,soybean,2024,1,0.044,0.615,0.479,1.0,56.6
Amravati,Achalpur,Vidarbha,soybean,2024,2,0.211,0.447,0.828,0.0,31.0
Amravati,Achalpur,Vidarbha,soybean,2024,3,0.283,0.397,0.832,0.0,39.8
Amravati,Achalpur,Vidarbha,soybean,2024,4,0.5,0.254,1.0,0.0,52.0
Amravati,Achalpur,Vidarbha,soybean,2024,5,0.134,0.51,0.922,0.0,37.9
Amravati,Achalpur,Vidarbha,soybean,2024,6,0.025,0.471,0.946,0.0,32.6
Amravati,Achalpur,Vidarbha,soybean,2024,7,0.387,0.134,0.841,0.0,40.5
Amravati,Achalpur,Vidarbha,soybean,2024,8,0.288,0.0,0.252,0.0,17.3
Amravati,Achalpur,Vidarbha,soybean,2024,9,0.245,0.212,0.035,0.3,24.2
Amravati,Achalpur,Vidarbha,soybean,2024,10,0.602,0.559,0.497,0.6,71.6
Amravati,Achalpur,Vidarbha,soybean,2024,11,0.377,0.6,0.429,1.0,71.8
Amravati,Achalpur,Vidarbha,soybean,2024,12,0.197,0.379,0.551,1.0,64.1
Amravati,Achalpur,Vidarbha,soybean,2025,1,0.119,0.538,0.721,1.0,67.2
Amravati,Achalpur,Vidarbha,soybean,2025,2,0.0,0.31,0.838,0.0,16.1
Amravati,Achalpur,Vidarbha,soybean,2025,3,0.042,0.292,0.894,0.0,34.1
Amravati,Achalpur,Vidarbha,soybean,2025,4,0.145,0.269,1.0,0.0,40.1
Amravati,Achalpur,Vidarbha,soybean,2025,5,0.04,0.293,0.94,0.0,29.0
Amravati,Achalpur,Vidarbha,soybean,2025,6,0.428,0.472,0.999,0.0,48.4
Amravati,Achalpur,Vidarbha,soybean,2025,7,0.28,0.433,0.73,0.0,31.8
Amravati,Achalpur,Vidarbha,soybean,2025,8,0.437,0.405,0.543,0.0,39.2
Amravati,Achalpur,Vidarbha,soybean,2025,9,0.536,0.019,0.533,0.3,38.2
Amravati,Achalpur,Vidarbha,soybean,2025,10,0.391,0.532,0.258,0.6,49.1
Amravati,Achalpur,Vidarbha,soybean,2025,11,0.019,0.565,0.239,1.0,49.5
Amravati,Achalpur,Vidarbha,soybean,2025,12,0.154,0.531,0.576,1.0,64.9
Amravati,Achalpur,Vidarbha,tur,2023,1,0.049,0.0,0.572,0.3,25.6
Amravati,Achalpur,Vidarbha,tur,2023,2,0.135,0.0,0.833,0.6,40.8
Amravati,Achalpur,Vidarbha,tur,2023,3,0.541,0.315,1.0,1.0,84.3
Amravati,Achalpur,Vidarbha,tur,2023,4,0.284,0.173,1.0,1.0,74.8
Amravati,Achalpur,Vidarbha,tur,2023,5,0.539,0.424,1.0,1.0,96.4
Amravati,Achalpur,Vidarbha,tur,2023,6,0.584,0.302,1.0,0.0,58.4
Amravati,Achalpur,Vidarbha,tur,2023,7,0.607,0.336,0.829,0.0,44.6
Amravati,Achalpur,Vidarbha,tur,2023,8,0.459,0.128,0.585,0.0,42.1
Amravati,Achalpur,Vidarbha,tur,2023,9,0.83,0.463,0.683,0.0,67.0
Amravati,Achalpur,Vidarbha,tur,2023,10,0.284,0.26,0.313,0.0,26.0
Amravati,Achalpur,Vidarbha,tur,2023,11,0.291,0.0,0.47,0.0,21.2
Amravati,Achalpur,Vidarbha,tur,2023,12,0.541,0.381,0.85,0.0,52.7
Amravati,Achalpur,Vidarbha,tur,2024,1,0.192,0.036,0.756,0.3,29.0
Amravati,Achalpur,Vidarbha,tur,2024,2,0.041,0.314,0.759,0.6,32.5
Amravati,Achalpur,Vidarbha,tur,2024,3,0.203,0.399,0.862,1.0,70.7
Amravati,Achalpur,Vidarbha,tur,2024,4,0.227,0.077,1.0,1.0,59.6
Amravati,Achalpur,Vidarbha,tur,2024,5,0.276,0.45,0.99,1.0,75.3
Amravati,Achalpur,Vidarbha,tur,2024,6,0.065,0.169,0.869,0.0,25.4
Amravati,Achalpur,Vidarbha,tur,2024,7,0.215,0.269,0.624,0.0,26.6
Amravati,Achalpur,Vidarbha,tur,2024,8,0.415,0.155,0.415,0.0,30.2
Amravati,Achalpur,Vidarbha,tur,2024,9,0.089,0.141,0.0,0.0,1.5
Amravati,Achalpur,Vidarbha,tur,2024,10,0.0,0.0,0.0,0.0,0.1
Amravati,Achalpur,Vidarbha,tur,2024,11,0.204,0.437,0.624,0.0,35.1
Amravati,Achalpur,Vidarbha,tur,2024,12,0.446,0.028,0.819,0.0,34.2
Amravati,Achalpur,Vidarbha,tur,2025,1,0.099,0.475,0.53,0.3,34.4
Amravati,Achalpur,Vidarbha,tur,2025,2,0.42,0.231,0.839,0.6,60.1
Amravati,Achalpur,Vidarbha,tur,2025,3,0.165,0.289,0.662,1.0,58.3
Amravati,Achalpur,Vidarbha,tur,2025,4,0.044,0.395,0.993,1.0,56.3
Amravati,Achalpur,Vidarbha,tur,2025,5,0.277,0.23,1.0,1.0,67.5
Amravati,Achalpur,Vidarbha,tur,2025,6,0.304,0.299,1.0,0.0,46.1
Amravati,Achalpur,Vidarbha,tur,2025,7,0.007,0.0,0.438,0.0,10.3
Amravati,Achalpur,Vidarbha,tur,2025,8,0.072,0.37,0.238,0.0,15.6
Amravati,Achalpur,Vidarbha,tur,2025,9,0.096,0.217,0.0,0.0,4.4
Amravati,Achalpur,Vidarbha,tur,2025,10,0.25,0.236,0.349,0.0,14.4
Amravati,Achalpur,Vidarbha,tur,2025,11,0.144,0.186,0.355,0.0,17.9
Amravati,Achalpur,Vidarbha,tur,2025,12,0.178,0.391,0.701,0.0,27.6
Amravati,Daryapur,Vidarbha,cotton,2023,1,0.35,0.135,1.0,1.0,60.8
Amravati,Daryapur,Vidarbha,cotton,2023,2,0.051,0.116,0.833,1.0,44.4
Amravati,Daryapur,Vidarbha,cotton,2023,3,0.126,0.357,0.974,1.0,58.1
Amravati,Daryapur,Vidarbha,cotton,2023,4,0.24,0.0,1.0,0.0,33.0
Amravati,Daryapur,Vidarbha,cotton,2023,5,0.149,0.438,1.0,0.0,49.2
Amravati,Daryapur,Vidarbha,cotton,2023,6,0.216,0.008,0.953,0.0,25.7
Amravati,Daryapur,Vidarbha,cotton,2023,7,0.097,0.26,0.45,0.0,17.6
Amravati,Daryapur,Vidarbha,cotton,2023,8,0.489,0.374,0.38,0.0,38.9
Amravati,Daryapur,Vidarbha,cotton,2023,9,0.573,0.0,0.47,0.0,28.6
Amravati,Daryapur,Vidarbha,cotton,2023,10,0.188,0.114,0.14,0.0,21.2
Amravati,Daryapur,Vidarbha,cotton,2023,11,0.146,0.262,0.368,0.3,28.2
Amravati,Daryapur,Vidarbha,cotton,2023,12,0.172,0.267,0.502,0.6,47.4
Amravati,Daryapur,Vidarbha,cotton,2024,1,0.257,0.027,0.79,1.0,57.1
Amravati,Daryapur,Vidarbha,cotton,2024,2,0.297,0.232,0.849,1.0,67.3
Amravati,Daryapur,Vidarbha,cotton,2024,3,0.345,0.243,1.0,1.0,74.0
Amravati,Daryapur,Vidarbha,cotton,2024,4,0.0,0.257,1.0,0.0,20.9
Amravati,Daryapur,Vidarbha,cotton,2024,5,0.237,0.272,1.0,0.0,36.3
Amravati,Daryapur,Vidarbha,cotton,2024,6,0.578,0.127,0.937,0.0,49.0
Amravati,Daryapur,Vidarbha,cotton,2024,7,0.361,0.443,0.673,0.0,36.5
Amravati,Daryapur,Vidarbha,cotton,2024,8,0.245,0.195,0.397,0.0,21.9
Amravati,Daryapur,Vidarbha,cotton,2024,9,0.102,0.339,0.0,0.0,11.0
Amravati,Daryapur,Vidarbha,cotton,2024,10,0.157,0.233,0.043,0.0,7.9
Amravati,Daryapur,Vidarbha,cotton,2024,11,0.022,0.366,0.282,0.3,17.2
Amravati,Daryapur,Vidarbha,cotton,2024,12,0.236,0.27,0.777,0.6,51.2
Amravati,Daryapur,Vidarbha,cotton,2025,1,0.26,0.295,0.904,1.0,68.1
Amravati,Daryapur,Vidarbha,cotton,2025,2,0.163,0.128,0.781,1.0,57.3
Amravati,Daryapur,Vidarbha,cotton,2025,3,0.465,0.397,1.0,1.0,88.2
Amravati,Daryapur,Vidarbha,cotton,2025,4,0.317,0.218,1.0,0.0,45.3
Amravati,Daryapur,Vidarbha,cotton,2025,5,0.198,0.091,1.0,0.0,35.9
Amravati,Daryapur,Vidarbha,cotton,2025,6,0.323,0.251,0.952,0.0,39.8
Amravati,Daryapur,Vidarbha,cotton,2025,7,0.493,0.257,0.883,0.0,53.7
Amravati,Daryapur,Vidarbha,cotton,2025,8,0.21,0.0,0.338,0.0,10.7
Amravati,Daryapur,Vidarbha,cotton,2025,9,0.334,0.159,0.227,0.0,24.0
Amravati,Daryapur,Vidarbha,cotton,2025,10,0.255,0.247,0.156,0.0,21.7
Amravati,Daryapur,Vidarbha,cotton,2025,11,0.0,0.145,0.415,0.3,19.1
Amravati,Daryapur,Vidarbha,cotton,2025,12,0.206,0.357,0.523,0.6,46.3
Amravati,Daryapur,Vidarbha,soybean,2023,1,0.177,0.369,0.735,1.0,64.6
Amravati,Daryapur,Vidarbha,soybean,2023,2,0.027,0.636,0.727,0.0,29.4
Amravati,Daryapur,Vidarbha,soybean,2023,3,0.248,0.615,0.965,0.0,44.6
Amravati,Daryapur,Vidarbha,soybean,2023,4,0.0,0.367,0.896,0.0,25.0
Amravati,Daryapur,Vidarbha,soybean,2023,5,0.17,0.227,1.0,0.0,35.9
Amravati,Daryapur,Vidarbha,soybean,2023,6,0.718,0.2,1.0,0.0,59.5
Amravati,Daryapur,Vidarbha,soybean,2023,7,0.26,0.499,0.575,0.0,35.3
Amravati,Daryapur,Vidarbha,soybean,2023,8,0.495,0.384,0.411,0.0,35.0
Amravati,Daryapur,Vidarbha,soybean,2023,9,0.154,0.261,0.0,0.3,26.0
Amravati,Daryapur,Vidarbha,soybean,2023,10,0.096,0.436,0.132,0.6,32.3
Amravati,Daryapur,Vidarbha,soybean,2023,11,0.0,0.292,0.209,1.0,40.2
Amravati,Daryapur,Vidarbha,soybean,2023,12,0.512,0.358,0.709,1.0,81.3
Amravati,Daryapur,Vidarbha,soybean,2024,1,0.198,0.487,0.737,1.0,64.4
Amravati,Daryapur,Vidarbha,soybean,2024,2,0.0,0.166,0.715,0.0,18.8
Amravati,Daryapur,Vidarbha,soybean,2024,3,0.05,0.477,0.812,0.0,33.2
Amravati,Daryapur,Vidarbha,soybean,2024,4,0.041,0.72,0.825,0.0,40.8
Amravati,Daryapur,Vidarbha,soybean,2024,5,0.276,0.723,0.987,0.0,55.4
Amravati,Daryapur,Vidarbha,soybean,2024,6,0.346,0.579,1.0,0.0,55.4
Amravati,Daryapur,Vidarbha,soybean,2024,7,0.0,0.316,0.317,0.0,19.0
Amravati,Daryapur,Vidarbha,soybean,2024,8,0.546,0.421,0.654,0.0,46.4
Amravati,Daryapur,Vidarbha,soybean,2024,9,0.235,0.491,0.0,0.3,28.1
Amravati,Daryapur,Vidarbha,soybean,2024,10,0.186,0.277,0.086,0.6,31.2
Amravati,Daryapur,Vidarbha,soybean,2024,11,0.027,0.428,0.267,1.0,41.4
Amravati,Daryapur,Vidarbha,soybean,2024,12,0.39,0.455,0.77,1.0,68.6
Amravati,Daryapur,Vidarbha,soybean,2025,1,0.038,0.338,0.533,1.0,44.8
Amravati,Daryapur,Vidarbha,soybean,2025,2,0.262,0.487,0.904,0.0,43.4
Amravati,Daryapur,Vidarbha,soybean,2025,3,0.077,0.819,1.0,0.0,37.6
Amravati,Daryapur,Vidarbha,soybean,2025,4,0.0,0.478,0.884,0.0,34.0
Amravati,Daryapur,Vidarbha,soybean,2025,5,0.021,0.679,0.892,0.0,39.0
Amravati,Daryapur,Vidarbha,soybean,2025,6,0.335,0.53,1.0,0.0,53.7
Amravati,Daryapur,Vidarbha,soybean,2025,7,0.144,0.475,0.404,0.0,15.7
Amravati,Daryapur,Vidarbha,soybean,2025,8,0.0,0.238,0.088,0.0,7.0
Amravati,Daryapur,Vidarbha,soybean,2025,9,0.0,0.278,0.0,0.3,24.9
Amravati,Daryapur,Vidarbha,soybean,2025,10,0.335,0.393,0.301,0.6,42.6
Amravati,Daryapur,Vidarbha,soybean,2025,11,0.0,0.452,0.314,1.0,42.6
Amravati,Daryapur,Vidarbha,soybean,2025,12,0.0,0.323,0.473,1.0,43.0
Amravati,Daryapur,Vidarbha,tur,2023,1,0.0,0.375,0.697,0.3,34.9
Amravati,Daryapur,Vidarbha,tur,2023,2,0.179,0.0,0.892,0.6,42.1
Amravati,Daryapur,Vidarbha,tur,2023,3,0.269,0.2,0.853,1.0,66.7
Amravati,Daryapur,Vidarbha,tur,2023,4,0.144,0.356,0.838,1.0,68.8
Amravati,Daryapur,Vidarbha,tur,2023,5,0.004,0.063,0.846,1.0,34.6
Amravati,Daryapur,Vidarbha,tur,2023,6,0.0,0.14,0.821,0.0,21.2
Amravati,Daryapur,Vidarbha,tur,2023,7,0.136,0.107,0.586,0.0,17.2
Amravati,Daryapur,Vidarbha,tur,2023,8,0.796,0.277,0.707,0.0,53.2
Amravati,Daryapur,Vidarbha,tur,2023,9,0.241,0.1,0.33,0.0,12.7
Amravati,Daryapur,Vidarbha,tur,2023,10,0.0,0.0,0.045,0.0,7.0
Amravati,Daryapur,Vidarbha,tur,2023,11,0.175,0.451,0.336,0.0,29.2
